Название;Радиус;Масса;Плотность;Расстояние_до_Солнца;Тип_планеты;ID
oxy;99674;12262172211;2957;5279;Каменная;1
andy;97314;11034211827;2859;2139;Каменная;2
gigi;4397;8566;24;2694;Газовый_гигант;3
uno;2097;57034;1477;4742;Ледяной_гигант;4
band;1901;49903;1735;2695;Ледяной_гигант;5
omega;2253;5956;124;2060;Газовый_гигант;6
lock;91012;16873560880;5346;1200;Каменная;7
jei;1910;46663;1599;5446;Ледяной_гигант;8
dendy;13314;24008;2;5417;Газовый_гигант;9
Земля;6371;5973300;5517;150;Землеподобная_планета;10
